rating,reviewer_id,date,review_title,review_body,category
5.0,danielle,2025-09-27,great product,great value its a great product i definitely recommend it and would buy it again,food
5.0,antonio,2025-09-04,healthy food,just a healthy way of cooking,food
5.0,geneva,2025-09-16,nan,nan,food
5.0,rebecca,2025-10-17,oil fine packaging very thin plastic,its just vegetable oil not worth it to spend what name brands cost i will say they have managed to make the packaging so thin they practically need to put it in a cardboard over box like they do for restaurants so thin that if you are not real careful to not squeeze all the air out when you are screwing the lid on it will get so tight like a vacuum in the bottle it will be super hard to unscrew the lid,food
3.0,melonie,2025-08-04,missing items,i did not receive the donuts or the earrings i submitted a request for the earrings already i ordered them on this order and the last order and paid for them but they did not get delivered please either mail them or refund my money,food
3.0,anonymous,2025-01-26,kinda crazy,wish they could bring it back it 1,food
1.0,chiann,2025-06-07,never got it in my order,never got this at all im not very happy,food
1.0,dominique,2025-08-26,nan,my bottle was opened,food
1.0,anonymous,2025-01-06,not happy,i didnt get what i ordered this is a pic of what i got,food
1.0,jonaisha,2023-07-03,use better judgment for the price of the item,substituting vegetable oil with 3 48oz bottles was extremely a bad judgment 2 would have been perfect for the price of 1 substitution not a good call on this one,food
5.0,ardawd123,2025-10-28,great value vegetable oil,ive been using great value oil for many years im 48 and still here ive heard its bad for bodies possibly but undoubtedly what isnt bad for our bodies i would still recommend it and we will still use it until told otherwise not to it doesnt give our food a bad taste works like it is suppose to,food
5.0,trista,2025-11-02,nan,great value is a good deal great value is a good buy i like to use your product so that im not spending any extra money usually equal to what im buying i like to use your product so that im not spending any extra money usually equal to what i get,food
5.0,michelle,2025-10-24,vegetable oil,love this vegetable oil very good for the price i fry all my chicken fish and so on in this kind of vegetable oil very good for the price of the money been buying for years no complaints from me 10 out of 10 gets my chicken crispy as if bought from chicken restaurant,food
3.0,patty,2025-11-09,nan,the actual oil was fine the top of the bottle was mashed down so badly that i could hardly get the lid off did the shopper take it off the shelf like that and just give it to me because i ordered online or did the associate who loaded it sit something heavy like my case of water or other drinks on top of it i just wish that people who work in customer service cared enough to pay attention,food
5.0,carol,2025-11-14,nan,works well for me i have used this for many years i use it for everything recipe that requires oil i also use it to grease my cake pan last week my kitchen window was stuckalthough not made for the off label use i oiled the track so the window would slide,food
5.0,connie,2025-11-21,nan,i love to cook and go grocery shopping but i recently broke my foot my family have been shopping for mei am temporarily out of work alsoi am very independent dont like to put people out of there way they work so i decided to try it  very impressed already recommending to others,food
5.0,joan,2025-12-10,nan,i always buy gv vegetable oil i am on a tight budget so pricing is important but i still want quality i cant tell the diff from the more expensive brands sometimes i need to get a small bottle at dollar general so i buy the more expensive but only then great product,food
