rating,reviewer_id,date,review_title,review_body,category
5.0,Danielle,2025-09-27,Great product!,Great value great product. definitely recommend would buy,food
5.0,Antonio,2025-09-04,healthy food,healthy way cook,food
5.0,Geneva,2025-09-16,nan,nan,food
5.0,Rebecca,2025-10-17,"Oil fine, package THIN PLASTIC","vegetable oil, not worth spend name brand cost. say, manage make package THIN practically need put cardboard box like restaurants. thin not real careful NOT SQUEEZE air screw lid get tight, like vacuum bottle, super hard UNSCREW lid.",food
3.0,Melonie,2025-08-04,Missing items,not receive donuts earrings. submit request earrings already. order order last order pay not get delivered. Please either mail refund money.,food
3.0,anonymous,2025-01-26,Kinda crazy,Wish could bring back $1,food
1.0,Chiann,2025-06-07,Never get order,Never get not happy,food
1.0,Dominique,2025-08-26,nan,bottle open,food
1.0,anonymous,2025-01-06,Not happy,get order pic get,food
1.0,Jonaisha,2023-07-03,Use better judgment price item,Substituting vegetable oil 3 48oz bottle extremely bad judgment. 2 would perfect price 1 substitution. Not good call one.,food
5.0,ardawd123,2025-10-28,Great Value Vegetable Oil,"use great value oil many years. 48 still hear bad bodies. Possibly, undoubtedly, bad bodies? would still recommend still use tell otherwise not give food bad taste. Works like suppose",food
5.0,Trista,2025-11-02,nan,Great value good deal. Great value good buy. like use product not spend extra money usually equal buying. like use product not spend extra money usually equal get.,food
5.0,Michelle,2025-10-24,Vegetable oil,Love vegetable oil. good price fry chicken fish kind vegetable oil. good price money buy years no complaints 10 10 get chicken crispy buy chicken restaurant,food
3.0,Patty,2025-11-09,nan,actual oil fine. top bottle mash badly could hardly get lid shopper take shelf like give order online? associate load sit something heavy like case water drink top wish people work customer service care enough pay attention.,food
5.0,Carol,2025-11-14,nan,"Works well use many years. use everything recipe require oil. also use grease cake pan. Last week kitchen window stuck...although not make label use, oil track window would slide.",food
5.0,Connie,2025-11-21,nan,love cook. go grocery shopping. recently break foot family shop me.I temporarily work also.I independent. like put people way work. decide try impressed. already recommend others.,food
5.0,Joan,2025-12-10,nan,ALWAYS BUY GV VEGETABLE OIL. TIGHT BUDGET PRICING IMPORTANT STILL WANT QUALITY. CANT TELL DIFF EXPENSIVE BRANDS. SOMETIMES NEED GET SMALL BOTTLE DOLLAR GENERAL BUY EXPENSIVE GREAT PRODUCT!,food
5.0,Abigail,2025-11-16,nan,"Great Value Vegetable Oil, 48 fl oz, kitchen essential! Light, versatile, perfect frying, baking, sautéing. large 48 fl oz bottle provide great value last long time. Reliable quality affordable price—highly recommend!",food
4.0,Michaela,2025-11-18,"Pretty good, not always interchangeable","vegetable oil, pretty good, personally prefer olive oil. baking, several recipes require vegetable oil. try olive oil, difference way two oil behave recipes, not always interchangeable.",food
1.0,Nana,2026-01-29,nan,"get order yet. Originally yesterday afternoon. Got notice delay, okay fine roads still not good places. notice another delay, another delay put 6p.m., would dark temperatures drop reschedule today 10-12. morning prepare order. order delay past 2:30p.m. go deliver not say start. items order specifically storm coming, really need order. far know everything order, least last night.",food
5.0,Lisa,2026-01-31,easy affordable cook oil,like brand like price like use oil daily cook like oil mess flavor food. like easy open close cap plastic bottle every thing make life easier,food
2.0,Dee,2025-12-06,Make sure agents really explain everything,order large gallon-sized jug stock settle bottle bottle like cost gallon judgment get one even though charge two Plus call customer service agent give $5 coupon promo good online order anything certain amount who's go cost $5 ship pick not worth trouble go try use coupon promo no good two days later,food
5.0,Sara,2025-11-29,nan,"good expensive name brand %26 oil use. would great, though, could ""no-drip"" spout normally need small bite oil time %26 end wipe top paper towel use.",food
5.0,Tanya,2025-11-29,value,"oil. Unless use Olive Coconut even Lard, not much difference vegetable oils. Except price. Oil get outrageous!. Walmart best price oil pretty much everything. must add use shop Kroger. Walmart beat store price keep Quality.",food
5.0,Dezireno,2025-12-04,nan,time good chicken wing bad spoil something else. almost meat spoiled. scar order chicken wing $4.44 pack restaurant wing $4.44 Usually favorite meat spoil order include burgers white castle burgers,food
5.0,Shannon,2026-01-15,mean,Basic cook oil work anything require high smoke point oil cooking. taste change flavor foods. also use grease pan non-stick surface. Best use light color pan go oven.,food
5.0,Debbi,2026-01-03,Cabinet Staple.,"home chef 7 family members, cook lot food. no solid reason use brand-name vegetable oil Great Value brand vegetable oil perfectly fine. mild flavor, use fry type foods, make salad dressings, bake call oil, etc. please Great Value Vegetable Oil, Make switch!",food
5.0,Dena,2026-02-04,Vegetable oil less,"Vegetable oil great quality. texture consistency taste like brand name. excellent option us try cut back ridiculous brand-name, high-priced products. Walmart better brand, opinion. use vegetable oil bake brownies, cookies, specialty vegetable dish, come amazingly good. bother pay get great quality less.",food
5.0,Earl,2026-02-06,nan,oil performance level higher end Brands yet affordable price point everyday pantry Item stock use light enough even make Italian dress versus olive oil cost pinch pennies want oil go ways,food
5.0,David,2026-01-09,not oil create equal,"vegetable oil solid everyday staple. neutral flavor work well cooking, baking, fry without affect taste food. heat evenly perform reliably whether sautéing, deep frying, use recipes. bottle size convenient last pour easy control without make mess. price, quality consistent dependable. want straightforward, affordable cook oil exactly one great value.",food
1.0,Danette,2026-02-11,nan,"HATE STORE!. SINCE JAN 27TH 2026..I CANCEL REOTDER RIDICULOUSLY 3 4XS BCZ COMPETENT EMPLOYEES CUSTOMER SERVICE STIRE %233262! STIRE NEVER EVERCANSWERS PHONE MEAN NOT SINGLE DEPT! ENDED CALLING URE 800%23 10XS ORDERS BCZ ANSWERED PHONES. IM OXYGEN CUMBERSOME GO STORE CARRY ITEMS LET ALONE 2 CASES WATER U DONT HIRE STAFF HELP ANSWER PHONES, U GOING LOSE CUSTOMERS. IVE DECIDED SHOP ELSEWHERE. URE PRICES KEEP GOING PRICES HIGHER GROCERY STORES!. U R ACTIALLY PRICE GOUGING CUSTOMERS IM GOINGVTO REPORT COMPANY. IM PEOPLE!!!",food
5.0,Melody,2026-03-01,nan,"understand hoopla certain type unhealthy cook oils... commit healthier lifestyle (yeah, right!). stood, aisle, read every vegetable oil label... honestly, Great Value Vegetable Oil nearly brand 100% Veg. oil- healthiest kind. Healthiest affordable...",food
4.0,Ryan,2025-10-03,"Great Value Vegetable Oil, 48 fl oz","giant jug Great Value vegetable oil crucial component college experience, specifically deep-fry freeze chicken nuggets attempt make actual food first time. 48 fl oz size ensure panic-buy oil least month two, give priorities, minor miracle. Thanks, Walmart, provide necessary fuel inevitable culinary disasters.",food
5.0,Sherene,2025-09-23,nan,"love affordable product. easy use cooking. package durable safe, taste ok. burn first use. reuse least 2 times. always continue use buy cook family. thank great value. families appreciate",food
1.0,Chris,2025-09-24,nan,"vegetable oil run mill vegetable oil. affordable. Walmart cancel delivery order without warn without attempt reschedule cancel mine recently mean hold money 10 business days That's right. cancel order HOLD money. call bank. can't anything Walmart control transaction. not no groceries, $200 additional amount charge time, hold, unavailable ten business days. better use Amazon Doordash. bother, especially live Norfolk, VA use Tidewater Drive store. particularly bad",food
5.0,arnetta,2025-10-13,Great Quality Value Go-To Cooking Oil,"buy Great Value Vegetable Oil years, never disappoints. perfect everyday cooking—whether frying, baking, sautéing. oil neutral flavor overpower food, heat evenly. 48 fl oz size great deal price last good kitchen. bottle easy pour store. Overall, affordable, reliable staple home cook.",food
1.0,Laiila,2024-01-18,nan,1000% sure suppose sort safety self vegetable oil definitely discard waste money,food
1.0,Tranquilus,2025-10-18,Great Value Vegetable Oil review.,oil contribute rectal bleed may cause type bleed consume small amount two spoon daily basis.,food
4.0,wanda,2025-10-30,nan,use deep fried! actually better pan fry right! Seal whatever fry buttermilk flour! soak near much oil! Try,food
5.0,Anita,2025-11-05,nan,"like vegetable oil best unless make Italian food use olive oil. use Great Value brand always, think better brand. %26 think try",food
5.0,Dawn,2025-11-18,Great Value vegetable oil.,"vegetable oil work great name-brand products. cheaper heat well, smoke high heat, not leave oily taste foods. would recommend vegetable oil.",food
