rating,reviewer_id,date,review_title,review_body
5.0,Steve,2025-05-04,Great for watching the Eagles destroy the Chiefs,I bought this so that I could experience the amazing playoff run of the 2024-2025 Philadelphia Eagles. Go Birds. I used this as the centerpiece of an outdoor party tent to watch the Eagles completly destroy the KC Chiefs. It was beautiful. I have watched that superbowl 37 times in the last 3 months.It was the best day of my life. And this projector is well worth the money.
5.0,Christina,2024-04-27,Grandpa loves this nice projector,Nice projector. This is for my grandpa birthday gift. He is very happy to have this purchase. He loves to stay home watching movie. Friendly user. Easy to use and set up with his TV either using wifi or bluetooth. There is another of what he likes is he loves to go camping and he now can bring it with him because its very lightweighted and small. The picture of the quality is as good as TV. Thank you very much product arrived on time and i m able to give to him during this weekend in his bday party.
5.0,Krista,2024-12-16,Excellent picture!!,This is so cool! I got it for my kids for Christmas and got so stuck on “Checking it out/setting it up” that I was still watching it when the kids came in from school. 🤣 the dial makes it so clear..even with out a projector screen it looks very clear. Now I have to buy all the kids one and keep this one for me! Only downside is you can't download Disney but you can connect it to an Xbox if you want. 👍👍
5.0,Michelle,2024-11-26,Amazing portable projector,I bought for around $50 during Black Friday. I wanted an affordable beginner-friendly projector that I can project on my bedroom ceiling and take outside on my deck when I have company over. I haven't tried taking it outside but it projects perfectly onto my ceiling. It's Bluetooth capable so I use my Shokz headphones for sound. The audio is decent but i prefer connecting to another device that sounds better.
4.0,Natalie,2025-04-14,"Good image, it works!","Really surprised with the quality image of this for the price and size. Sound quality is not amazing but doesn't mean is bad, is just normal since is more design sharing video, app works fine, and image although is not perfect is good enough to see the colors, which was my main concern before buying, reminds me the quality of the cheap tvs from the beginning of the 2000s lol, but is good enough as an extra secondary tv as I need it in my case."
4.0,anonymous,2025-07-12,Impressed,Good projector for price. I would recommend you to still use a firestick or roku for applications because the software itself on the projector is a little glitchy. It is definitely worth your money though.
3.0,Paul,2025-05-28,Meh suckered in by review not all that,Bought based on some article that popped up. Said 400$ projector practically free (lots of these lately) but I bit. I figured 58 bucks what to lose? Well it won't airplay it won't stream you tube tv it will play “files” but so dim it almost like a bad drive in. It has basic android tv functionality but not much more simple and yet kinda worthless and not really worth it. Ez to operate and focus for what that's worth. Unless totally dark room your best option is something else.
3.0,Argenis,2025-01-31,You get what you pay for.,"made my purchase based off of this review https://www.mensjournal.com/gear/artsea-4k-1080p-smart-mini-projector-walmart-sale-january-2025 clearly not worth $400. It's worth what I paid. For that the picture quality is okay the Keystone feature works very well as soon as you adjust it, it auto focuses within milliseconds. There is no brightness control so at times the scenes from what you're watching do look dark. I got it up to about 120 in and was able to adjust the manual focus to give me clear picture above that things get blurry. Don't recommend using the audio from as it's no good. My Bluetooth speaker did the trick. To give you context your cell phone may sound better for a movie. Has Android Play store good for Apps %26 games and is Netflix cert."
2.0,Sharon,2025-01-30,Going to return it,"Two stars for the WiFi, Bluetooth, and high resolution. But this product is not compatible with AirPlay. I reached out to the company and they told me to use a cable… Another thing is that it projected a black spot. Definitely something wrong with it."
1.0,anonymous,2025-03-18,Quality issue and Not 4K,Money and time wast.. it won't support 4K.. corners will be blurred out and You might get headache if you watch movies with inconsistent quality of the picture.. Auto correct is another on issue.. I do manually correct the keystone to make it square.. It will be HD when you project it for some 1.5 feet width.. it will blur out when it goes bigger screen size.. Projectors should be used for many years so plz spend little more to get good one.
2.0,Cindi,2025-10-25,,I have not had it that long and the picture is going out.
3.0,Jason,2025-05-06,Not 4k,Picture looks good thing is I thought it was gonna be 4k and it is not it's the main reason I bought this
5.0,Luisa,2025-02-09,Worth the money,"Worth the money spent. I connected my Apple TV to this and it works perfectly. The only issue is that if I don't unplug it, when I turn it back on the sound doesn't work. But overall, the product is pretty good."
1.0,Elfonsey,2024-12-05,False advertising,This is not the item I ordered as evidence you can see the attached pictures. What I recieved and what I ordered is pictured. I would like the item I ordered or my money back. Makes me no difference!!
4.0,Christina,2025-02-12,Can't scroll Netflix easily,"I really like this but there are a few things that I don't like: not being able to scroll Netflix easily-you have to use the mouse button, and the fact that it's not chargeable-it has to be plugged in to work."
5.0,Becky1968,2025-08-31,Good pic,Great pic easy to use love it. Pic is on the back of our neighbors wood fence with fire going
1.0,Luis,2025-04-06,,"they scammed me sending a bed sore lotion , please don't buy."
5.0,Aaliyah,2025-09-29,,This projector is absolutely amazing. Was very surprised for the price. The sound is good and picture quality is super clear.just plugged in and connected to WiFi worksss so good and comes with HDMI to hook up to computer or anything else!.
