rating,reviewer_id,date,review_title,review_body
5.0,WalmartCustomer,2025-09-25,,I have never bought a mattress online before. I wasn't sure how it would arrive. But it was rolled in a tube and packed in a way that I could move the box myself. It was easy to remove the packaging and had clear instructions on how to unwrap the mattress and let it reach its full state.
5.0,anonymous,2025-08-12,Better than expected,"Was looking for something affordable that wasn't just some cheap mattress for my child's room. Delivered a day early, it is a spring mattress, took about two days for the foam part to fully decompress from being packed inside of a box. I was a little intimidated, but it was no hassle, easy to unbox and pretty comfy for snuggles"
5.0,WalmartCustomer,2025-05-25,,The only thing I would recommend is that Walmart use another service other than OnTrac for delivery. Waited all day for delivery and it wasn't delivered until 7:30 PM.
5.0,James,2025-08-14,,I absolutely love this bed. I would recommend this to anyone I have Arthritis stenosis lumbar and cervical and suffer tremendously. I normally sleep in a recliner and I ordered this bed. And moved into a new apartment. Put it together myself and I love it. I will tell everyone I know they need this bed. Thank you very much for providing this for me.
5.0,WalmartCustomer,2025-10-05,,"Zinus makes it easy for me and my SHP team to tackle child bedlessness in our region robustly. We would not be making the same impact if it were not for their competitive pricing, which empowers me and my SHP team to solve this problem, regardless of the circumstances."
5.0,lady0fdarkness,2025-11-07,,this is the classic bed that I've been looking for forever with more springs for body support rather than a whole bunch of foam and bedding. this is the classic kind that they make back in the '90s.. It's so freaking comfortable and it's supporting my back so good.
3.0,Janiqua,2025-08-25,,"I'm not sure if this is the correct size. It inflated quickly once taken out of the box. I'm not sure of whether or not I'm supposed to take the plastic off as a requirement for full inflation, or if leaving it on is fine. Also not sure of how long to allow it to inflate, I don't see any instructions. I'm considering a return but I suppose I'll give it a couple of hours before I truly decide. The mattress feels firm, decent. Too soon to tell… I will update this post soon!"
2.0,Susan,2026-01-01,,This mattress looks nice in the picture but it disappoints in real life. Looks and feels cheap and uncomfortable. You can definitely feel the springs. It's basically an oversized crib mattress and it doesn't fully fit the bed frame. I was disappointed when I saw it.
2.0,KF,2025-11-28,,"I am a side sleeper with a bad back and carpal tunnel so a firm mattress is mandatory for me. The mattress is as advertised, well made, and firm. However, as advertised, it is basic and therefore has no cushion. I couldnt feel the springs and didn't have numb hips when I woke up, but my body felt sore. I just wanted to warn anyone before buying this for yourself or worse, a child because a comfortable, good night's rest is super important. I also personally would feel embarrassed by carrying a mattress into the store to return it because its been opened already. BACK STORY: I've slept on a Slumber1 by Zinus 8"" mattress for the past several years and I figured it was time to replace it because it was damaged during a move. It was a VERY comfortable medium-firm mattress (I loved it). When I checked Walmart's website I noticed they are only 6"" now so I opted to purchase the basic mattress to give it a try because it was firm. Anyhow, no luck with that one so I've ordered their Euro-top 10"" mattress even though it is medium firmness. I hope that one is better."
1.0,Darlene,2025-11-24,Keep looking!!!,"If I could give it zero I would!! A piece of trash but for some reason my dog likes it to lay on for naps only. Even he knows it's not good for anything more than that.. i have two other Zinus mattresses, king and queen, wonderful! I was using this one for a daybed, can't even sit on it and be comfortable! Put it in my dog's room to lay around on, but he still prefers the other beds to lay on more! Waste of money!"
