rating,reviewer_id,date,review_title,review_body
,Danielle,2025-09-27,,Great value it's a great product. I definitely recommend it and would buy it again.
,Antonio,2025-09-04,,just a healthy way of cooking
,Geneva,2025-09-16,,
,Rebecca,2025-10-17,,"It's just vegetable oil, not worth it to spend what name brands cost. I will say, they have managed to make the packaging SO THIN they practically need to put it in a cardboard over box like they do for restaurants. SO thin that if you are not real careful to NOT SQUEEZE all the air out when you are screwing the lid on, it will get so tight, like a vacuum in the bottle, it will be super hard to UNSCREW the lid."
,Melonie,2025-08-04,,I did not receive the donuts or the earrings. I submitted a request for the earrings already. I ordered them on this order and the last order and paid for them but they did not get delivered. Please either mail them or refund my money.
,anonymous,2025-01-26,,Wish they could bring it back it $1
,Chiann,2025-06-07,,Never got this at all I'm not very happy
,Dominique,2025-08-26,,My bottle was opened
,anonymous,2025-01-06,,I didn't get what I ordered this is a pic of what I got
,Jonaisha,2023-07-03,,Substituting vegetable oil with 3 48oz bottles was extremely a bad judgment. 2 would have been perfect for the price of 1 substitution. Not a good call on this one.
,Danielle,2025-09-27,,Great value it's a great product. I definitely recommend it and would buy it again.
,Antonio,2025-09-04,,just a healthy way of cooking
,Geneva,2025-09-16,,
,Rebecca,2025-10-17,,"It's just vegetable oil, not worth it to spend what name brands cost. I will say, they have managed to make the packaging SO THIN they practically need to put it in a cardboard over box like they do for restaurants. SO thin that if you are not real careful to NOT SQUEEZE all the air out when you are screwing the lid on, it will get so tight, like a vacuum in the bottle, it will be super hard to UNSCREW the lid."
,Melonie,2025-08-04,,I did not receive the donuts or the earrings. I submitted a request for the earrings already. I ordered them on this order and the last order and paid for them but they did not get delivered. Please either mail them or refund my money.
,anonymous,2025-01-26,,Wish they could bring it back it $1
,Chiann,2025-06-07,,Never got this at all I'm not very happy
,Dominique,2025-08-26,,My bottle was opened
,anonymous,2025-01-06,,I didn't get what I ordered this is a pic of what I got
,Jonaisha,2023-07-03,,Substituting vegetable oil with 3 48oz bottles was extremely a bad judgment. 2 would have been perfect for the price of 1 substitution. Not a good call on this one.
,ardawd123,2025-10-28,,"I've been using great value oil for many years. I'm 48 and still here. I've heard it's bad for bodies. Possibly, but undoubtedly, what isn't bad for our bodies? I would still recommend it, and we will still use it until told otherwise not to. It doesn't give our food a bad taste. Works like it is suppose to."
