rating,reviewer_id,date,review_title,review_body
,WalmartCustomer,2025-09-25,,I have never bought a mattress online before. I wasn't sure how it would arrive. But it was rolled in a tube and packed in a way that I could move the box myself. It was easy to remove the packaging and had clear instructions on how to unwrap the mattress and let it reach its full state.
,anonymous,2025-08-12,,"Was looking for something affordable that wasn't just some cheap mattress for my child's room. Delivered a day early, it is a spring mattress, took about two days for the foam part to fully decompress from being packed inside of a box. I was a little intimidated, but it was no hassle, easy to unbox and pretty comfy for snuggles"
,WalmartCustomer,2025-05-25,,The only thing I would recommend is that Walmart use another service other than OnTrac for delivery. Waited all day for delivery and it wasn't delivered until 7:30 PM.
,James,2025-08-14,,I absolutely love this bed. I would recommend this to anyone I have Arthritis stenosis lumbar and cervical and suffer tremendously. I normally sleep in a recliner and I ordered this bed. And moved into a new apartment. Put it together myself and I love it. I will tell everyone I know they need this bed. Thank you very much for providing this for me.
,Janiqua,2025-08-25,,"I'm not sure if this is the correct size. It inflated quickly once taken out of the box. I'm not sure of whether or not I'm supposed to take the plastic off as a requirement for full inflation, or if leaving it on is fine. Also not sure of how long to allow it to inflate, I don't see any instructions. I'm considering a return but I suppose I'll give it a couple of hours before I truly decide. The mattress feels firm, decent. Too soon to tell… I will update this post soon!"
,Terrance,2025-09-27,,"after opening the vacuum sealing there was a hole on the bottom side close to the stitching in the corner. we figured a sheet would cover it . my daughter sleep on this bed and ended up with a horrible rash. doctor said chemical burn. we assumed maybe it was her skin, shes sensitive. so we trade the brand new mattress for her with her brothers used one. neither ended up with the same rash the next morning, except on his face. his eyes were swollen shut.Walmart won't refund it without it being sent back, no problem there is a health hazard for us at this point, but it came vacuumed sealed, how an i suppose to return this mattress with no vehicle ? then they offered to just leave it outside as is and shipping drivers will come for it.I live in a suburb with an HOA and they would never allow me to place a mattress on my porch for 24-48 hours. so I'm just going to end up tossing it. definitely don't get for your younger ones!"
,Kristen,2025-09-18,,"Bought this for my son‘s twin bed. We bought him the Batmobile bedframe, so the bed would be on the floor. And now, so is he. The second you put a pound of pressure on this mattress flattened to the ground. You can feel every single spring. Except for the springs, and the outer layer I'm not sure there's any substance to this mattress. DO NOT BUY THIS TO SAVE MONEY."
,Lucretia,2025-07-22,,Bought this smashes for my mom and ended up putting it in the upstairs storage because you could feel springs all over the place as soon as you sit down it's not thick. You feel every metal spring when you sit or lay on it. It's very uncomfortable no support whatsoever. Maybe that's why it was so cheap.
,Javier,2025-12-08,,"Walmart's service was AWFUL. The mattress is extraordinarily uncomfortable, and when I tried to return it, Walmart cancelled the return pickup 5 times. Last time I tried, they told me pick up was never available and , if I wanted a return, I needed to drop off the product myself. Extremely unproffessional behaviour."
,Chlorinefree,2025-12-09,,"Had to buy an ""emergency"" twin mattress for a guest that would have ruined the more pricey, Serta medium-firm, I had on the bed (due to being a heavy smoker). So I quickly ordered this budget mattress for under $100.00. I had no intention of saving/keeping this mattress after the guest left, because it would smell of cigarette smoke. That having been said, this mattress is definitely designed for a child. Anyone weighing more than 100 Lbs. will feel the springs and sleep uncomfortably. Unless this is a purchase for a child--spend a bit more and get a better mattress. Thank you for reading my review."
,WalmartCustomer,2025-09-25,,I have never bought a mattress online before. I wasn't sure how it would arrive. But it was rolled in a tube and packed in a way that I could move the box myself. It was easy to remove the packaging and had clear instructions on how to unwrap the mattress and let it reach its full state.
,anonymous,2025-08-12,,"Was looking for something affordable that wasn't just some cheap mattress for my child's room. Delivered a day early, it is a spring mattress, took about two days for the foam part to fully decompress from being packed inside of a box. I was a little intimidated, but it was no hassle, easy to unbox and pretty comfy for snuggles"
,WalmartCustomer,2025-05-25,,The only thing I would recommend is that Walmart use another service other than OnTrac for delivery. Waited all day for delivery and it wasn't delivered until 7:30 PM.
,James,2025-08-14,,I absolutely love this bed. I would recommend this to anyone I have Arthritis stenosis lumbar and cervical and suffer tremendously. I normally sleep in a recliner and I ordered this bed. And moved into a new apartment. Put it together myself and I love it. I will tell everyone I know they need this bed. Thank you very much for providing this for me.
,Janiqua,2025-08-25,,"I'm not sure if this is the correct size. It inflated quickly once taken out of the box. I'm not sure of whether or not I'm supposed to take the plastic off as a requirement for full inflation, or if leaving it on is fine. Also not sure of how long to allow it to inflate, I don't see any instructions. I'm considering a return but I suppose I'll give it a couple of hours before I truly decide. The mattress feels firm, decent. Too soon to tell… I will update this post soon!"
,Terrance,2025-09-27,,"after opening the vacuum sealing there was a hole on the bottom side close to the stitching in the corner. we figured a sheet would cover it . my daughter sleep on this bed and ended up with a horrible rash. doctor said chemical burn. we assumed maybe it was her skin, shes sensitive. so we trade the brand new mattress for her with her brothers used one. neither ended up with the same rash the next morning, except on his face. his eyes were swollen shut.Walmart won't refund it without it being sent back, no problem there is a health hazard for us at this point, but it came vacuumed sealed, how an i suppose to return this mattress with no vehicle ? then they offered to just leave it outside as is and shipping drivers will come for it.I live in a suburb with an HOA and they would never allow me to place a mattress on my porch for 24-48 hours. so I'm just going to end up tossing it. definitely don't get for your younger ones!"
,Kristen,2025-09-18,,"Bought this for my son‘s twin bed. We bought him the Batmobile bedframe, so the bed would be on the floor. And now, so is he. The second you put a pound of pressure on this mattress flattened to the ground. You can feel every single spring. Except for the springs, and the outer layer I'm not sure there's any substance to this mattress. DO NOT BUY THIS TO SAVE MONEY."
,Lucretia,2025-07-22,,Bought this smashes for my mom and ended up putting it in the upstairs storage because you could feel springs all over the place as soon as you sit down it's not thick. You feel every metal spring when you sit or lay on it. It's very uncomfortable no support whatsoever. Maybe that's why it was so cheap.
,Javier,2025-12-08,,"Walmart's service was AWFUL. The mattress is extraordinarily uncomfortable, and when I tried to return it, Walmart cancelled the return pickup 5 times. Last time I tried, they told me pick up was never available and , if I wanted a return, I needed to drop off the product myself. Extremely unproffessional behaviour."
,Chlorinefree,2025-12-09,,"Had to buy an ""emergency"" twin mattress for a guest that would have ruined the more pricey, Serta medium-firm, I had on the bed (due to being a heavy smoker). So I quickly ordered this budget mattress for under $100.00. I had no intention of saving/keeping this mattress after the guest left, because it would smell of cigarette smoke. That having been said, this mattress is definitely designed for a child. Anyone weighing more than 100 Lbs. will feel the springs and sleep uncomfortably. Unless this is a purchase for a child--spend a bit more and get a better mattress. Thank you for reading my review."
,Terrance,2025-09-27,,"after opening the vacuum sealing there was a hole on the bottom side close to the stitching in the corner. we figured a sheet would cover it . my daughter sleep on this bed and ended up with a horrible rash. doctor said chemical burn. we assumed maybe it was her skin, shes sensitive. so we trade the brand new mattress for her with her brothers used one. neither ended up with the same rash the next morning, except on his face. his eyes were swollen shut.Walmart won't refund it without it being sent back, no problem there is a health hazard for us at this point, but it came vacuumed sealed, how an i suppose to return this mattress with no vehicle ? then they offered to just leave it outside as is and shipping drivers will come for it.I live in a suburb with an HOA and they would never allow me to place a mattress on my porch for 24-48 hours. so I'm just going to end up tossing it. definitely don't get for your younger ones!"
,Javier,2025-12-08,,"Walmart's service was AWFUL. The mattress is extraordinarily uncomfortable, and when I tried to return it, Walmart cancelled the return pickup 5 times. Last time I tried, they told me pick up was never available and , if I wanted a return, I needed to drop off the product myself. Extremely unproffessional behaviour."
